Time,Price
0.0,100.0
1.0,99.84560525316438
2.0,99.79970261118092
3.0,99.78802490682793
4.0,99.71887778181804
5.0,99.68707575553807
6.0,99.74028760712942
7.0,99.76153143735357
8.0,99.73751851234962
9.0,99.7946793594375
10.0,99.81146812428906
11.0,99.79231430539149
12.0,99.79841651462463
13.0,99.80201993508344
14.0,99.785886887956
15.0,99.77697869583245
16.0,99.76582688458925
17.0,99.76345098571188
18.0,99.78814275505812
19.0,99.78352793526908
20.0,99.8436095495805
21.0,99.84892777565818
22.0,99.80738025897176
23.0,99.82781224125729
24.0,99.82908445983334
25.0,99.77453768089218
26.0,99.7708064932804
27.0,99.79156976461051
28.0,99.79968154462041
29.0,99.78349685604866
30.0,99.80884151340128
